time,threshold,delta,regimes,vvix_max,n,wr,total,avg,best,worst,max_dd,mar
0945,8.25,-0.3,NO_R1,999,44,18.18,14280,324.55,14010,-1050,8050.0,1.77
0945,8.25,-0.3,ALL,110,61,16.39,33300,545.9,16930,-890,11520.0,2.89
0945,8.25,-0.3,NO_R1,110,38,15.79,15340,403.68,14010,-890,8050.0,1.91
0945,8.25,-0.3,ALL,100,51,19.61,27670,542.55,16930,-810,5520.0,5.01
0945,8.25,-0.3,NO_R1,100,29,20.69,1800,62.07,5880,-840,4430.0,0.41
0945,8.5,-0.05,ALL,999,175,3.43,19680,112.46,9680,-740,5630.0,3.5
0945,8.5,-0.05,NO_R1,999,123,4.07,11880,96.59,8550,-740,5210.0,2.28
0945,8.5,-0.05,ALL,110,260,1.92,14550,55.96,9680,-400,9130.0,1.59
0945,8.5,-0.05,NO_R1,110,200,2.0,7650,38.25,8550,-400,9430.0,0.81
0945,8.5,-0.05,ALL,100,225,0.89,580,2.58,9680,-360,6710.0,0.09
0945,8.5,-0.05,NO_R1,100,171,0.58,-6750,-39.47,2770,-360,9050.0,-0.75
0945,8.5,-0.075,ALL,999,143,4.2,25860,180.84,11160,-560,2670.0,9.69
0945,8.5,-0.075,NO_R1,999,91,5.49,17150,188.46,9530,-560,3000.0,5.72
0945,8.5,-0.075,ALL,110,132,4.55,27480,208.18,11160,-560,1970.0,13.95
0945,8.5,-0.075,NO_R1,110,74,6.76,19840,268.11,9530,-560,1500.0,13.23
0945,8.5,-0.075,ALL,100,128,3.12,7090,55.39,11160,-560,5500.0,1.29
0945,8.5,-0.075,NO_R1,100,79,2.53,-1470,-18.61,3740,-560,4530.0,-0.32
0945,8.5,-0.1,ALL,999,137,4.38,24640,179.85,12150,-750,3450.0,7.14
0945,8.5,-0.1,NO_R1,999,85,5.88,15450,181.76,10740,-750,3860.0,4.0
0945,8.5,-0.1,ALL,110,126,4.76,26690,211.83,12150,-750,2570.0,10.39
0945,8.5,-0.1,NO_R1,110,68,7.35,18850,277.21,10740,-750,2170.0,8.69
0945,8.5,-0.1,ALL,100,124,3.23,3780,30.48,12150,-750,7250.0,0.52
0945,8.5,-0.1,NO_R1,100,75,2.67,-6260,-83.47,1670,-750,6190.0,-1.01
0945,8.5,-0.125,ALL,999,127,6.3,26880,211.65,12640,-990,4370.0,6.15
0945,8.5,-0.125,NO_R1,999,85,5.88,16070,189.06,11690,-990,4830.0,3.33
0945,8.5,-0.125,ALL,110,116,6.9,29600,255.17,12640,-990,3540.0,8.36
0945,8.5,-0.125,NO_R1,110,68,7.35,20450,300.74,11690,-990,3040.0,6.73
0945,8.5,-0.125,ALL,100,117,5.13,4410,37.69,12640,-990,9470.0,0.47
0945,8.5,-0.125,NO_R1,100,75,2.67,-7310,-97.47,2650,-990,7600.0,-0.96
